CODE_CIRCONSCRIPTION;NOM_CIRCONSCRIPTION;NUMERO_CANDIDAT;SEXE_CANDIDAT;NOM_CANDIDAT;PRENOM_CANDIDAT;COLONNE_TRI;TYPE_CANDIDAT;ABREVIATION_PARTI;NOM_PARTI;DEPUTE_SORTANT;SEXE_AGENT_OFF;NOM_AGENT_OFF;PRENOM_AGENT_OFF;DATE
431;Bourassa-Sauvé;305;M;Généreux;Claude;GENEREUXCLAUDE;CPA;Q.S.;Québec solidaire;N;M;tremblay;Alain;2014-03-22 20:00:01
431;Bourassa-Sauvé;711;M;Luthu;Félix;LUTHUFELIX;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
431;Bourassa-Sauvé;177;F;Mahiout;Leila;MAHIOUTLEILA;CPA;P.Q.;Parti québécois;N;M;Sivret;Clément;2014-03-22 20:00:01
377;Bourget;869;M;Brunelle;Claude;BRUNELLECLAUDE;CPA;P.M.L.Q.;Parti marxiste-léniniste du Québec;N;M;Legeais;Christian;2014-03-22 20:00:01
377;Bourget;199;M;Chateauneuf;Gaétan;CHATEAUNEUFGAETAN;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
377;Bourget;790;M;Gagnon;Jean-Pierre;GAGNONJEANPIERRE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;Desjardins;Stephane;2014-03-22 20:00:01
377;Bourget;179;M;Kotto;Maka;KOTTOMAKA;CPA;P.Q.;Parti québécois;O;M;Henry;Marcel;2014-03-22 20:00:01
377;Bourget;376;M;Lapierre;Thomas;LAPIERRETHOMAS;CPA;P.V.Q./G.P.Q.;Parti vert du Québec/Green Party of Québec;N;M;McMurray;Ken;2014-03-22 20:00:01
377;Bourget;163;M;Medza;Sylvain;MEDZASYLVAIN;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
377;Bourget;846;M;Saavedra Renaud;Diego;SAAVEDRARENAUDDIEGO;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain ;2014-03-22 20:00:01
129;Brome-Missisquoi;574;M;Beauregard;René;BEAUREGARDRENE;CPA;P.Q.;Parti québécois;N;M;McGown;Daniel;2014-03-22 20:00:01
129;Brome-Missisquoi;562;M;Lemay;François;LEMAYFRANCOIS;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
129;Brome-Missisquoi;312;M;Paradis;Pierre;PARADISPIERRE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;O;F;Bolduc;Aline ;2014-03-22 20:00:01
129;Brome-Missisquoi;888;M;Pépin;Nicolas;PEPINNICOLAS;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
129;Brome-Missisquoi;445;M;Van Caloen;Benoit;VANCALOENBENOIT;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
193;Chambly;877;M;Dessureault;Vincent;DESSUREAULTVINCENT;CPA;P.N.;Parti nul;N;M;Couture;Simon;2014-03-22 20:00:01
193;Chambly;267;F;Ferdinand;Magdala;FERDINANDMAGDALA;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;F;Pierre;Fogette;2014-03-22 20:00:01
193;Chambly;650;F;Harper;Mary;HARPERMARY;CPA;P.V.Q./G.P.Q.;Parti vert du Québec/Green Party of Québec;N;M;McMurray;Ken;2014-03-22 20:00:01
193;Chambly;684;M;Laramée;Martin;LARAMEEMARTIN;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
193;Chambly;502;M;Maher;Michael;MAHERMICHAEL;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc ;2014-03-22 20:00:01
193;Chambly;492;M;Roberge;Jean-François;ROBERGEJEANFRANCOIS;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
193;Chambly;125;M;St-Arnaud;Bertrand;SAINTARNAUDBERTRAND;CPA;P.Q.;Parti québécois;O;M;Fraser-Guay;Charles;2014-03-22 20:00:01
193;Chambly;414;M;Vigeant;Francis;VIGEANTFRANCIS;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
593;Champlain;216;M;Auger;Pierre Michel;AUGERPIERREMICHEL;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;F;Leblanc;Claire;2014-03-22 20:00:01
593;Champlain;161;F;Champagne;Noëlla;CHAMPAGNENOELLA;CPA;P.Q.;Parti québécois;O;M;Gagnon;Alain;2014-03-22 20:00:01
593;Champlain;477;M;D'Amours;Andrew;DAMOURSANDREW;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
593;Champlain;530;F;Favreau;Lucie;FAVREAULUCIE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
593;Champlain;341;M;Lachapelle;Tomy;LACHAPELLETOMY;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
593;Champlain;531;M;Lavigne-Lefebvre;Nicolas;LAVIGNELEFEBVRENICOLAS;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
559;Chapleau;387;F;Avalos;Laura;AVALOSLAURA;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
559;Chapleau;802;M;Boily;Philippe;BOILYPHILIPPE;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
559;Chapleau;567;M;Carrière;Marc;CARRIEREMARC;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;O;M;Marineau;Luc;2014-03-22 20:00:01
559;Chapleau;454;M;Fleury;Roger;FLEURYROGER;CPA;P.V.Q./G.P.Q.;Parti vert du Québec/Green Party of Québec;N;M;McMurray;Ken;2014-03-22 20:00:01
559;Chapleau;440;M;Morin;Yves;MORINYVES;CPA;P.Q.;Parti québécois;N;F;Turpin;Jeannine;2014-03-22 20:00:01
